,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
117,BIG MARSH,Big Marsh #1 - Low,bike park entrance,1958 E 116th Street,2,5/30/17,,,2,7/3/17,,,,,,,,41.6845838,-87.5358646
118,BIRCH,Birch  #1 - High,inside entrance,427 E 45TH ST,2,4/27/17,,,,,,,,,2,,,41.81282045,-87.61542714
119,BIRCH,Birch  #1 - Low,inside entrance,427 E 45TH ST,2,4/27/17,,,,,,,,,2,,,41.81282045,-87.61542714
120,BIXLER (RAY),Bixler  #1 ,inside playground fence,5641 S KENWOOD AVE,2,4/13/17,,,,,,,,,0.176,,,41.7923239,-87.5932378
121,BIXLER (RAY),Bixler  #2,south of playground fence,5641 S KENWOOD AVE,2,4/17/17,,,2,6/30/17,,,,,,,,41.7923239,-87.5932378
122,BLACKHAWK,Blackhawk  #1,southeast corner of playground,2318 N LAVERGNE AVE,2,4/12/17,,,22,7/15/17,,,,,22.1,20,2,41.92287925,-87.75187263
123,BLACKHAWK,Blackhawk  #2,"southwest corner of fieldhouse, on path from lawler entrance",2318 N LAVERGNE AVE,4.25,4/12/17,,,43.5,7/15/17,,,,,23.3,21,3.5,41.92287925,-87.75187263
124,"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - High,at entrance on 115th,11500 S HOMEWOOD AVE,2,4/17/17,,,,,,,,,0.299,,,41.6846513,-87.6703414
125,"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - Middle,at entrance on 115th,11500 S HOMEWOOD AVE,2,4/17/17,,,,,,,,,0.311,,,41.6846513,-87.6703414
126,"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - Low,at entrance on 115th,11500 S HOMEWOOD AVE,2,4/17/17,,,,,,,,,0.361,,,41.6846513,-87.6703414
127,"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #2,"north of basketball court, on path",11500 S HOMEWOOD AVE,,,,,,,,,,,,,,41.6846513,-87.6703414
128,BOGAN (WILLIAM),Bogan  #1,"north end of park, on path, near school",3939 W 79TH ST,,,,,,,,,,,,,,41.7494375,-87.7230083
129,BOGAN (WILLIAM),Bogan  #2,"behind home plate of southernmost diamond, on path",3939 W 79TH ST,2,4/3/17,,,,,,,,,0.662,,,41.7494375,-87.7230083
130,BOGAN (WILLIAM),Bogan  #3 - High,near playlot,3939 W 79TH ST,2,4/3/17,,,,,,,,,2.69,,,41.7494375,-87.7230083
131,BOGAN (WILLIAM),Bogan  #3 - Low,near playlot,3939 W 79TH ST,2,4/3/17,,,,,,,,,3.09,,,41.7494375,-87.7230083
132,BOSLEY (WILLIAM),Bosley  #1,northwest corner of field house,3044 S BONFIELD ST,2,4/14/17,,,,,,,,,3.11,,,41.83924475,-87.6537608
133,BOSWELL (ARNITA YOUNG),Boswell  #1 - High,inside entrance on university,6646 S UNIVERSITY AVE,2,4/11/17,,,2,6/30/17,,,,,17.8,37,5.9,41.7979681,-87.59815
134,BOSWELL (ARNITA YOUNG),Boswell  #1 - Low,inside entrance on university,6646 S UNIVERSITY AVE,2,4/11/17,,,2,6/30/17,,,,,17.7,37,6.4,41.7979681,-87.59815
135,BRADLEY (JOSEPHINE),Bradley  #1,northeast corner of tennis courts,9729 S YATES AVE,157,5/5/17,2,6/1/17,11.8,7/20/17,16.5,8/8/17,,,,,,41.71805375,-87.56434749
136,BRADLEY (JOSEPHINE),Bradley  #2,"on yates, west of fieldhouse",9729 S YATES AVE,2,5/5/17,,,,,,,,,3,,,41.71805375,-87.56434749
137,BRADLEY (JOSEPHINE),Bradley  #3,"south of south diamond, on path from 98th/bensley entrance",9729 S YATES AVE,2,5/5/17,,,14.2,7/20/17,6.06,8/8/17,,,17,100,44,41.71805375,-87.56434749
138,BRAINERD,Brainerd  #1 - High,spraypool,1246 W 92ND ST,2,4/18/17,,,,,,,,,0.12,,,41.72715495,-87.65490772
139,BRAINERD,Brainerd  #1 - Middle,spraypool,1246 W 92ND ST,2,4/18/17,,,,,,,,,0.12,,,41.72715495,-87.65490772
140,BRAINERD,Brainerd  #1 - Low,spraypool,1246 W 92ND ST,2,4/18/17,,,,,,,,,0.12,,,41.72715495,-87.65490772
141,BRAINERD,Brainerd  #2,southeast of tennis courts,1246 W 92ND ST,,,,,,,,,,,,,,41.72715495,-87.65490772
142,BRAINERD,Brainerd  #3,northeast corner on 91st,1246 W 92ND ST,2,4/18/17,,,,,,,,,5.31,,,41.72715495,-87.65490772
143,BRAINERD,Brainerd  #4,east of fieldhouse on walking path,1246 W 92ND ST,2,4/18/17,,,,,,,,,0.694,,,41.72715495,-87.65490772
144,BRANDS,Brands  #1,southwest corner of tennis courts,3285 N ELSTON AVE,,,,,,,,,,,,,,41.94134665,-87.70028375
